filename,triplet1_eV,triplet2_eV,singlet1_eV,2T1_minus_S1,2T1_minus_T2,HOMO,LUMO
M2879e.log,2.8235,3.5691,4.0209,1.6261,2.0779,-0.2592,
M2876E (1).log,0.9158,2.2284,2.0955,-0.2639,-0.3968,-0.20176,
m2865e.log,2.6333,2.9833,3.3515,1.9151,2.2833,-0.19113,
M2855e.log,1.8764,2.8624,2.8649,0.8879,0.8904,-0.24005,
M2849e.log,1.1085,1.9715,2.0535,0.1635,0.2455,-0.2479,
M2838e.log,2.6553,3.4631,3.6255,1.6851,1.8475,-0.21041,
M2830e.log,0.9468,2.0386,2.6935,-0.7999,-0.145,-0.23901,
M2825E.log,1.2185,2.7815,3.2408,-0.8038,-0.3445,-0.24384,
m2813e.log,3.3544,4.8997,5.1842,1.5246,1.8091,-0.23054,
M2795e.log,2.7719,4.093,4.5204,1.0234,1.4508,-0.24494,
M2788e.log,1.3599,2.0608,2.9714,-0.2516,0.659,-0.20804,
M2785e.log,1.8463,1.9664,2.3422,1.3504,1.7262,-0.22063,
M2782e.log,2.7871,3.2122,3.6872,1.887,2.362,-0.22546,
M2775e.log,3.3455,4.9218,5.1327,1.5583,1.7692,-0.22984,
M2757e.log,2.8566,3.5814,3.9528,1.7604,2.1318,-0.25541,
M2756e.log,0.672,2.0979,2.5219,-1.1779,-0.7539,-0.26534,
M2753e.log,2.8072,3.6097,4.0573,1.5571,2.0047,-0.26208,
M2737e.log,2.1864,2.6027,3.5858,0.787,1.7701,-0.21584,
M2735e.log,0.6197,2.2753,2.5092,-1.2698,-1.0359,-0.27381,
M2731e.log,2.5728,2.8501,3.5573,1.5883,2.2955,-0.21031,
M2717e.log,2.8827,3.4343,4.5689,1.1965,2.3311,-0.22389,
M2704e.log,3.5757,3.9572,4.6559,2.4955,3.1942,-0.25697,
M2698e.log,1.2895,2.946,3.1391,-0.5601,-0.367,-0.25034,
M2695e.log,3.3658,4.3592,5.0101,1.7215,2.3724,-0.26349,
M2677E.log,2.9086,2.9419,3.9372,1.88,2.8753,-0.27661,
M2675E.log,3.6633,3.6993,5.0961,2.2305,3.6273,-0.25419,
M2655E.log,3.4796,4.9437,5.4291,1.5301,2.0155,-0.25744,
M2629E.log,2.9498,3.4802,3.8351,2.0645,2.4194,-0.21502,
M2628E.log,2.7971,3.4358,3.4676,2.1266,2.1584,-0.23699,
M2602E.log,1.3716,2.2531,2.3901,0.3531,0.4901,-0.18626,
M2591E.log,1.8728,3.4628,3.404,0.3416,0.2828,-0.26084,
